,sqft,price,beds,baths,address,city,zip_code
177,780 sq ft,"$445,000",2 beds,1 bath,440 E Warnock Ave, South Salt Lake, 84115
178,"1,038 sq ft","$389,000",2 beds,1 bath,178 E Herbert Ave S, Salt Lake City, 84111
179,"1,578 sq ft","$599,000",3 beds,1 bath,561 S Mcclelland St, Salt Lake City, 84102
180,865 sq ft,"$359,000",2 beds,1 bath,31 N M St E #301, Salt Lake City, 84103
181,920 sq ft,"$350,000",2 beds,2 baths,2150 S Main St Unit R518, South Salt Lake, 84115
182,"1,022 sq ft","$310,000",2 beds,1.5 baths,3701 S 740 E #40, Millcreek, 84106
183,"1,098 sq ft","$325,000",3 beds,1.5 baths,2940 S 700 E #14, South Salt Lake, 84106
184,"1,525 sq ft","$539,000",3 beds,2.5 baths,4171 S Kiera Hill Ln, Millcreek, 84107
185,"1,821 sq ft","$569,888",4 beds,3 baths,564 S 1000 W, Salt Lake City, 84104
186,166 sq ft,"$195,000",— beds,1 bath,276 E Broadway St S #3, Salt Lake City, 84111
187,700 sq ft,"$296,500",1 bed,1 bath,521 E 5th Ave N #405, Salt Lake City, 84103
188,"3,681 sq ft","$1,250,000",4 beds,3.5 baths,4647 S Brookwood Dr, Millcreek, 84117
189,"1,657 sq ft","$649,000",3 beds,2 baths,668 E Bryan Ave, Salt Lake City, 84105
190,"1,075 sq ft","$429,000",1 bed,2 baths,241 N Vine St W Unit 805W, Salt Lake City, 84103
191,"1,034 sq ft","$410,000",2 beds,1.5 baths,520 S 500 E #318, Salt Lake City, 84102
192,"2,195 sq ft","$825,000",2 beds,3 baths,241 N Vine St Unit 1201E, Salt Lake City, 84103
193,"2,122 sq ft","$455,000",5 beds,2 baths,5268 Westslope Dr, Salt Lake City, 84118
194,"1,772 sq ft","$646,250",3 beds,2.5 baths,365 W 800 N #14, Salt Lake City, 84103
195,"1,474 sq ft","$474,900",4 beds,2 baths,5292 W Stockton S, Salt Lake City, 84118
196,"1,736 sq ft","$434,900",4 beds,2 baths,5993 W Lodestone Ave, Salt Lake City, 84118
197,792 sq ft,"$325,000",2 beds,1 bath,438 N Center St #407, Salt Lake City, 84103
198,"4,002 sq ft","$2,650,000",3 beds,3 baths,671 N Freeze Creek Cir, Salt Lake City, 84108
199,"3,426 sq ft","$929,000",6 beds,4 baths,1744 E Horne Ave, Salt Lake City, 84106
200,"2,632 sq ft","$1,350,000",4 beds,3 baths,4479 S Fortuna Way, Salt Lake City, 84124
201,775 sq ft,"$410,000",1 bed,1 bath,875 S Donner Way #809, Salt Lake City, 84108
202,938 sq ft,"$315,900",2 beds,1 bath,31 M St #202, Salt Lake City, 84103
203,"2,279 sq ft","$750,000",2 beds,2 baths,48 300 S Unit 705N, Salt Lake City, 84101
204,"1,650 sq ft","$925,000",4 beds,2 baths,1433 S 1600 E, Salt Lake City, 84105
205,"4,640 sq ft","$1,700,000",8 beds,14 baths,657 S 800 E, Salt Lake City, 84102
206,926 sq ft,"$320,000",1 bed,1.5 baths,48 W 300 S #704, Salt Lake City, 84101
207,"1,176 sq ft","$400,000",3 beds,2 baths,4937 S 4900 W, Kearns, 84118
208,"5,446 sq ft","$2,395,000",6 beds,3 baths,1602 E Millcreek Way, Salt Lake City, 84106
209,"2,165 sq ft","$699,000",4 beds,2.5 baths,320 N 800 W, Salt Lake City, 84116
210,"3,108 sq ft","$875,000",5 beds,3 baths,1181 S 900 E, Salt Lake City, 84105
211,"4,526 sq ft","$1,100,000",8 beds,8 baths,2316 S 700 E, Salt Lake City, 84106
212,"3,726 sq ft","$835,000",4 beds,3.5 baths,4716 S Holladay Wood Ln, Holladay, 84117
213,"2,420 sq ft","$745,000",4 beds,3 baths,446 E 700 S, Salt Lake City, 84111
214,"4,620 sq ft","$1,250,000",5 beds,3.5 baths,3640 E Aurora Cir, Salt Lake City, 84124
215,820 sq ft,"$199,700",2 beds,1 bath,1601 W 400 S #23, Salt Lake City, 84104
216,916 sq ft,"$210,000",1 bed,1 bath,632 N Oakley St W Unit C203, Salt Lake City, 84116
217,"2,584 sq ft","$599,900",5 beds,2 baths,2883 S Mcclelland St E, Salt Lake City, 84106
218,"1,685 sq ft","$665,000",3 beds,2 baths,1159 E Charlton Ave, Salt Lake City, 84106
219,"1,780 sq ft","$565,000",3 beds,2.5 baths,4172 S Kiera Hill Ln E, Millcreek, 84107
220,"4,252 sq ft","$925,000",6 beds,3 baths,1401 S 2300 E, Salt Lake City, 84108
221,"2,685 sq ft","$1,050,000",2 beds,2.5 baths,875 S Donner Way E #111, Salt Lake City, 84108
222,"2,448 sq ft","$498,900",7 beds,3 baths,4909 S 4380 W, Kearns, 84118
223,"1,375 sq ft","$500,000",2 beds,2.5 baths,15 E Kensington Ave Unit K, Salt Lake City, 84115
224,"1,425 sq ft","$589,900",3 beds,2 baths,724 E Wilson Ave, Salt Lake City, 84105
